trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
159,False,"{'a': 0.5, 'e': 0.8529285032149541}",25,5,-15.605750680304032,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.8520755747117391}",20,0,-37.255679095833045,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.8512234991370274}",30,19,-6.910132815176864,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.8503722756378904}",25,0,-99.02544593896903,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.8495219033622525}",25,0,-148.68507411016031,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.8486723814588902}",35,17,-5.998992802190922,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.8478237090774313}",25,0,-113.61488928006708,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.8469758853683539}",20,0,-152.61140630212776,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
167,False,"{'a': 0.5, 'e': 0.8461289094829856}",20,2,-90.07916234112392,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
168,False,"{'a': 0.5, 'e': 0.8452827805735026}",25,10,-20.768995064467127,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.8444374977929291}",25,18,-21.73753245022932,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.8435930602951361}",25,2,-169.42524278970694,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 4}",1
171,False,"{'a': 0.5, 'e': 0.842749467234841}",35,0,-160.23729462915833,"{0: 25, 1: 1, 2: 6, 3: 0, 4: 3}",0
172,False,"{'a': 0.5, 'e': 0.8419067177676062}",25,3,-138.31654292119939,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 2}",1
173,False,"{'a': 0.5, 'e': 0.8410648110498385}",35,6,-88.08652236246878,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 1}",1
174,False,"{'a': 0.5, 'e': 0.8402237462387887}",30,0,-212.55208573170773,"{0: 14, 1: 4, 2: 9, 3: 0, 4: 3}",0
175,False,"{'a': 0.5, 'e': 0.83938352249255}",20,0,-31.492091974048783,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.8385441389700574}",30,0,-82.63732935355922,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.8377055948310873}",25,0,-135.35699812890826,"{0: 17, 1: 4, 2: 0, 3: 1, 4: 3}",0
178,False,"{'a': 0.5, 'e': 0.8368678892362562}",20,0,-44.00938721671634,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.83603102134702}",30,0,-201.93494073724375,"{0: 17, 1: 1, 2: 6, 3: 4, 4: 2}",0
180,False,"{'a': 0.5, 'e': 0.8351949903256729}",20,0,-60.83944194651967,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.8343597953353473}",25,0,-154.6341724474632,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
182,False,"{'a': 0.5, 'e': 0.8335254355400119}",20,0,-35.45664184035365,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
183,False,"{'a': 0.5, 'e': 0.832691910104472}",20,0,-87.94581639700843,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
